date,sum_stats,brand_1,brand_2,brand_3,brand_4
2014-01-02,355,101,186,32,36
2014-01-03,443,136,248,32,27
2014-01-04,565,162,264,94,45
2014-01-05,259,106,106,18,29
2014-01-06,121,47,54,9,11
2014-01-07,413,159,183,43,28
2014-01-08,303,124,142,10,27
2014-01-09,349,112,184,26,27
2014-01-10,393,154,162,31,46
2014-01-11,617,239,277,62,39
2014-01-12,267,107,99,43,18
2014-01-13,418,153,202,26,37
2014-01-14,400,150,208,24,18
2014-01-15,329,123,176,14,16
2014-01-16,309,100,157,24,28
2014-01-17,427,133,245,30,19
2014-01-18,689,250,345,58,36
2014-01-19,257,97,130,18,12
2014-01-20,331,124,162,16,29
2014-01-21,318,109,173,7,29
2014-01-22,384,128,214,22,20
2014-01-23,325,111,168,26,20
2014-01-24,569,181,334,36,18
2014-01-25,678,256,305,59,58
2014-01-26,308,113,154,15,26
2014-01-27,273,91,134,22,26
2014-01-28,382,135,212,15,20
2014-01-29,366,120,202,22,22
2014-01-30,843,144,147,532,20
2014-01-31,1128,181,289,623,35
2014-02-01,1494,302,410,746,36
2014-02-02,592,97,186,289,20
2014-02-03,676,141,184,327,24
2014-02-04,529,130,171,207,21
2014-02-05,507,99,183,199,26
2014-02-06,431,115,181,115,20
2014-02-07,705,198,361,113,33
2014-02-08,1002,260,537,149,56
2014-02-09,447,105,188,138,16
2014-02-10,459,113,186,143,17
2014-02-11,576,107,247,189,33
2014-02-12,381,95,179,93,14
2014-02-13,748,491,200,29,28
2014-02-14,844,575,199,33,37
2014-02-15,1128,705,336,46,41
2014-02-16,484,340,102,16,26
2014-02-17,494,307,161,12,14
2014-02-18,481,308,139,17,17
2014-02-19,597,370,179,22,26
2014-02-20,773,585,159,14,15
2014-02-21,878,528,287,37,26
2014-02-22,1202,704,381,61,56
2014-02-23,411,232,147,10,22
2014-02-24,403,236,121,21,25
2014-02-25,417,234,141,23,19
2014-02-26,413,210,157,20,26
2014-02-27,355,109,211,22,13
2014-02-28,479,147,252,30,50
2014-03-01,771,219,424,64,64
2014-03-02,228,88,89,37,14
2014-03-03,266,79,156,22,9
2014-03-04,361,144,144,40,33
2014-03-05,312,76,183,28,25
2014-03-06,371,129,174,26,42
2014-03-07,484,179,232,35,38
2014-03-08,620,210,302,60,48
2014-03-09,270,88,155,15,12
2014-03-10,299,109,138,28,24
2014-03-11,290,108,138,25,19
2014-03-12,299,90,166,15,28
2014-03-13,310,106,168,22,14
2014-03-14,508,168,246,43,51
2014-03-15,639,191,312,68,68
2014-03-16,267,111,106,23,27
2014-03-17,254,106,114,19,15
2014-03-18,274,115,119,11,29
2014-03-19,272,91,130,29,22
2014-03-20,283,95,134,35,19
2014-03-21,541,177,257,40,67
2014-03-22,710,248,362,49,51
2014-03-23,282,90,131,32,29
2014-03-24,360,125,173,31,31
2014-03-25,337,137,153,18,29
2014-03-26,299,97,156,29,17
2014-03-27,429,119,242,29,39
2014-03-28,496,166,277,28,25
2014-03-29,634,240,304,59,31
2014-03-30,244,85,122,26,11
2014-03-31,337,120,166,29,22
2014-04-01,381,132,189,30,30
2014-04-02,399,103,207,30,59
2014-04-03,384,108,203,22,51
2014-04-04,605,184,288,25,108
2014-04-05,829,283,377,49,120
2014-04-06,311,80,144,33,54
2014-04-07,345,126,156,28,35
2014-04-08,396,126,211,21,38
2014-04-09,352,96,215,12,29
2014-04-10,706,451,200,26,29
2014-04-11,777,463,247,36,31
2014-04-12,1040,571,342,80,47
2014-04-13,467,261,143,33,30
2014-04-14,458,270,143,21,24
2014-04-15,467,268,160,17,22
2014-04-16,540,285,209,25,21
2014-04-17,555,346,157,26,26
2014-04-18,854,446,323,43,42
2014-04-19,1146,665,358,69,54
2014-04-21,308,121,123,48,16
2014-04-22,384,144,187,30,23
2014-04-23,376,135,180,25,36
2014-04-24,538,179,301,30,28
2014-04-25,341,104,181,32,24
2014-04-26,735,269,354,60,52
2014-04-27,288,89,148,19,32
2014-04-28,459,128,238,43,50
2014-04-29,470,165,234,30,41
2014-04-30,1087,189,300,59,539
2014-05-02,1045,217,287,59,482
2014-05-03,1047,204,313,41,489
2014-05-04,400,120,144,35,101
2014-05-05,494,86,157,16,235
2014-05-06,485,112,183,29,161
2014-05-07,482,148,208,38,88
2014-05-08,484,75,191,40,178
2014-05-09,634,196,299,51,88
2014-05-10,691,262,270,55,104
2014-05-11,295,118,128,23,26
2014-05-12,370,114,170,35,51
2014-05-13,571,138,211,35,187
2014-05-14,421,122,227,25,47
2014-05-15,415,154,219,21,21
2014-05-16,684,206,365,82,31
2014-05-17,798,260,403,91,44
2014-05-18,331,101,179,29,22
2014-05-19,384,163,178,18,25
2014-05-20,486,226,202,31,27
2014-05-21,379,117,215,31,16
2014-05-22,397,122,223,20,32
2014-05-23,630,231,287,58,54
2014-05-24,753,249,369,72,63
2014-05-25,322,120,162,24,16
2014-05-26,330,119,174,22,15
2014-05-27,488,136,266,56,30
2014-05-28,404,128,222,23,31
2014-05-29,907,646,213,17,31
2014-05-30,1041,757,201,35,48
2014-05-31,1285,931,263,47,44
2014-06-01,496,358,96,27,15
2014-06-02,277,206,51,10,10
2014-06-03,574,343,176,20,35
2014-06-04,655,492,106,20,37
2014-06-05,490,276,170,19,25
2014-06-06,655,385,217,29,24
2014-06-07,967,568,306,60,33
2014-06-08,361,235,96,17,13
2014-06-09,473,293,119,30,31
2014-06-10,525,326,161,22,16
2014-06-11,447,222,144,40,41
