date,sum_stats,brand_1,brand_2,brand_3,brand_4
2014-01-02,187,94,20,32,34
2014-01-03,225,131,30,33,26
2014-01-04,329,153,28,103,36
2014-01-05,183,101,31,22,24
2014-01-06,64,46,6,9,2
2014-01-07,222,147,19,41,3
2014-01-08,148,122,12,10,2
2014-01-09,164,110,26,25,1
2014-01-10,206,151,21,31,0
2014-01-11,363,236,57,62,3
2014-01-12,169,107,10,40,11
2014-01-13,198,153,12,26,6
2014-01-14,210,144,32,23,5
2014-01-15,158,121,20,14,0
2014-01-16,161,98,37,20,1
2014-01-17,196,131,26,32,5
2014-01-18,374,241,65,55,2
2014-01-19,138,97,21,18,1
2014-01-20,163,119,19,16,4
2014-01-21,133,103,14,6,2
2014-01-22,170,120,21,20,1
2014-01-23,157,109,19,26,1
2014-01-24,242,176,25,35,0
2014-01-25,382,254,48,54,23
2014-01-26,161,112,22,15,9
2014-01-27,157,90,17,23,25
2014-01-28,190,123,20,15,20
2014-01-29,183,116,22,24,17
2014-01-30,195,142,23,8,19
2014-01-31,254,173,31,13,29
2014-02-01,398,298,52,13,30
2014-02-02,149,94,26,8,17
2014-02-03,186,140,16,4,24
2014-02-04,176,124,25,7,14
2014-02-05,152,94,27,1,25
2014-02-06,161,108,25,4,17
2014-02-07,254,191,21,12,22
2014-02-08,364,253,40,10,54
2014-02-09,133,103,11,2,15
2014-02-10,155,111,23,4,15
2014-02-11,181,100,38,7,28
2014-02-12,140,88,22,11,12
2014-02-13,103,25,15,33,24
2014-02-14,121,21,31,34,33
2014-02-15,170,37,40,46,38
2014-02-16,85,38,2,22,20
2014-02-17,71,21,19,13,13
2014-02-18,99,31,28,18,16
2014-02-19,96,21,19,31,17
2014-02-20,78,27,21,15,13
2014-02-21,120,25,27,40,23
2014-02-22,239,62,52,64,51
2014-02-23,87,30,23,11,21
2014-02-24,81,16,19,26,19
2014-02-25,103,33,23,24,18
2014-02-26,89,26,15,21,25
2014-02-27,162,94,32,23,11
2014-02-28,247,137,26,32,48
2014-03-01,388,189,66,72,55
2014-03-02,151,77,15,37,14
2014-03-03,116,68,17,23,8
2014-03-04,225,133,14,55,17
2014-03-05,151,65,29,26,25
2014-03-06,222,121,29,29,38
2014-03-07,264,161,25,39,34
2014-03-08,330,180,35,64,42
2014-03-09,128,78,22,16,11
2014-03-10,170,91,24,29,22
2014-03-11,157,96,14,26,18
2014-03-12,140,78,18,17,25
2014-03-13,169,101,27,22,14
2014-03-14,301,157,42,65,26
2014-03-15,377,184,53,70,62
2014-03-16,187,108,25,28,21
2014-03-17,152,103,12,22,11
2014-03-18,178,116,21,13,27
2014-03-19,167,88,25,30,19
2014-03-20,176,85,29,34,18
2014-03-21,306,173,23,46,60
2014-03-22,400,236,53,47,51
2014-03-23,157,87,7,32,28
2014-03-24,204,116,18,30,31
2014-03-25,205,136,22,22,24
2014-03-26,161,90,19,31,14
2014-03-27,208,107,24,42,23
2014-03-28,248,162,30,31,21
2014-03-29,364,232,36,57,31
2014-03-30,141,80,20,25,11
2014-03-31,192,117,21,36,15
2014-04-01,219,123,28,30,29
2014-04-02,158,100,25,30,0
2014-04-03,158,106,30,20,0
2014-04-04,233,175,24,25,0
2014-04-05,373,266,41,49,0
2014-04-06,128,77,15,33,0
2014-04-07,179,117,25,28,0
2014-04-08,170,123,22,20,2
2014-04-09,133,90,25,12,0
2014-04-10,124,39,24,26,29
2014-04-11,154,37,41,38,29
2014-04-12,217,35,44,86,41
2014-04-13,123,42,15,33,28
2014-04-14,115,38,26,21,24
2014-04-15,85,18,25,20,19
2014-04-16,117,31,40,27,17
2014-04-17,113,29,21,27,24
2014-04-18,169,49,33,51,33
2014-04-19,237,60,50,75,45
2014-04-21,80,9,6,49,15
2014-04-22,210,119,30,31,21
2014-04-23,208,106,33,31,29
2014-04-24,259,158,39,29,26
2014-04-25,176,91,26,34,21
2014-04-26,409,241,46,68,44
2014-04-27,130,64,15,20,29
2014-04-28,221,102,21,59,34
2014-04-29,227,128,22,36,34
2014-04-30,259,161,37,56,0
2014-05-02,284,183,28,57,0
2014-05-03,267,180,39,38,0
2014-05-04,155,100,20,33,0
2014-05-05,123,85,21,16,0
2014-05-06,166,111,25,29,0
2014-05-07,213,137,29,36,0
2014-05-08,133,71,19,39,0
2014-05-09,284,194,43,45,0
2014-05-10,341,250,25,54,0
2014-05-11,166,116,25,23,0
2014-05-12,154,113,5,35,0
2014-05-13,192,138,21,33,0
2014-05-14,175,119,29,24,0
2014-05-15,176,129,5,23,19
2014-05-16,286,165,8,82,31
2014-05-17,343,197,18,84,44
2014-05-18,137,82,6,27,22
2014-05-19,169,129,5,10,25
2014-05-20,219,177,10,5,27
2014-05-21,154,107,14,19,14
2014-05-22,144,92,14,7,31
2014-05-23,264,190,14,13,47
2014-05-24,285,204,9,14,58
2014-05-25,123,92,4,11,16
2014-05-26,106,80,7,5,14
2014-05-27,150,101,10,9,30
2014-05-28,146,101,6,9,30
2014-05-29,90,22,21,16,26
2014-05-30,108,36,19,8,43
2014-05-31,134,38,39,17,38
2014-06-01,57,19,11,7,15
2014-06-02,39,15,2,11,9
2014-06-03,112,24,31,20,33
2014-06-04,101,29,13,20,35
2014-06-05,81,19,18,24,20
2014-06-06,129,51,22,27,24
2014-06-07,166,38,27,66,27
2014-06-08,68,13,23,17,13
2014-06-09,108,29,17,31,30
2014-06-10,99,36,20,23,15
2014-06-11,141,42,14,44,37
2014-06-12,118,100,16,1,0
2014-06-13,198,169,15,0,0
2014-06-14,207,163,37,0,0
2014-06-15,111,83,24,0,2
2014-06-16,165,136,28,0,1
2014-06-17,141,118,18,0,0
2014-06-18,131,106,20,1,0
2014-06-19,110,96,13,0,0
2014-06-20,183,152,23,0,1
2014-06-21,285,252,27,0,0
2014-06-22,125,85,30,0,4
2014-06-23,133,106,17,0,4
2014-06-24,158,130,18,0,0
2014-06-25,187,143,37,0,0
2014-06-26,183,106,16,25,32
2014-06-27,228,128,25,24,50
2014-06-28,314,191,25,53,35
2014-06-29,178,126,18,20,13
2014-06-30,154,80,21,22,24
2014-07-01,219,131,33,25,29
2014-07-02,158,108,6,20,9
2014-07-03,189,129,14,20,26
2014-07-04,248,155,24,39,30
2014-07-05,262,162,24,49,27
2014-07-06,113,69,19,9,16
2014-07-07,183,97,23,31,31
2014-07-08,168,92,24,25,23
2014-07-09,183,112,14,25,32
2014-07-10,170,113,18,34,0
2014-07-11,155,112,18,23,0
2014-07-12,238,170,27,33,0
2014-07-13,122,80,12,28,0
2014-07-14,158,89,39,26,0
2014-07-15,86,69,12,5,0
2014-07-16,137,93,26,14,0
2014-07-17,125,85,15,22,0
2014-07-18,195,135,12,43,0
2014-07-19,182,126,29,25,0
2014-07-20,95,70,7,16,0
2014-07-21,210,132,22,45,0
2014-07-22,120,89,20,11,0
2014-07-23,43,12,13,18,0
2014-07-24,49,2,11,21,15
2014-07-25,90,10,34,33,13
2014-07-26,118,8,37,47,26
2014-07-27,38,4,11,18,5
2014-07-28,80,24,9,30,17
2014-07-29,75,6,14,41,14
2014-07-30,71,2,28,15,26
2014-07-31,52,3,16,13,20
2014-08-01,97,3,23,46,25
2014-08-02,102,8,30,34,30
2014-08-03,53,7,14,26,6
2014-08-04,95,38,12,30,15
2014-08-05,43,3,8,23,9
2014-08-06,59,11,13,15,20
2014-08-07,73,2,47,2,22
