date,sum_stats,brand_1,brand_2,brand_3,brand_4
2014-01-02,168,0,168,0,0
2014-01-03,218,0,218,0,0
2014-01-04,236,0,236,0,0
2014-01-05,76,0,76,0,0
2014-01-06,57,0,48,0,9
2014-01-07,191,0,166,6,19
2014-01-08,155,0,130,6,19
2014-01-09,185,0,159,4,22
2014-01-10,187,0,141,24,22
2014-01-11,254,0,218,6,30
2014-01-12,98,0,91,0,7
2014-01-13,220,0,189,4,27
2014-01-14,190,0,177,2,11
2014-01-15,171,0,155,2,14
2014-01-16,148,0,121,1,26
2014-01-17,231,0,220,0,11
2014-01-18,315,0,281,5,29
2014-01-19,119,0,108,0,11
2014-01-20,168,0,143,3,22
2014-01-21,185,0,158,9,18
2014-01-22,214,0,195,0,19
2014-01-23,168,0,149,3,16
2014-01-24,327,0,309,0,18
2014-01-25,296,0,261,5,30
2014-01-26,147,0,130,0,17
2014-01-27,116,0,116,0,0
2014-01-28,192,0,192,0,0
2014-01-29,183,0,183,0,0
2014-01-30,648,0,124,524,0
2014-01-31,874,0,260,614,0
2014-02-01,1096,0,357,739,0
2014-02-02,443,0,160,283,0
2014-02-03,490,0,167,323,0
2014-02-04,353,0,148,205,0
2014-02-05,355,0,156,199,0
2014-02-06,270,0,156,114,0
2014-02-07,451,0,339,112,0
2014-02-08,638,0,500,138,0
2014-02-09,314,0,177,137,0
2014-02-10,304,0,164,140,0
2014-02-11,395,0,208,187,0
2014-02-12,241,0,159,82,0
2014-02-13,645,460,185,0,0
2014-02-14,723,553,170,0,0
2014-02-15,958,661,297,0,0
2014-02-16,399,302,97,0,0
2014-02-17,423,282,141,0,0
2014-02-18,382,271,111,0,0
2014-02-19,501,344,157,0,0
2014-02-20,695,557,138,0,0
2014-02-21,758,499,259,0,0
2014-02-22,963,633,330,0,0
2014-02-23,324,200,124,0,0
2014-02-24,322,219,103,0,0
2014-02-25,314,196,118,0,0
2014-02-26,324,182,142,0,0
2014-02-27,193,13,180,0,0
2014-02-28,232,8,224,0,0
2014-03-01,383,28,355,0,0
2014-03-02,77,3,74,0,0
2014-03-03,150,13,137,0,0
2014-03-04,136,5,131,0,0
2014-03-05,161,5,156,0,0
2014-03-06,149,4,145,0,0
2014-03-07,220,14,206,0,0
2014-03-08,290,22,268,0,0
2014-03-09,142,9,133,0,0
2014-03-10,129,14,115,0,0
2014-03-11,133,9,124,0,0
2014-03-12,159,10,149,0,0
2014-03-13,141,0,141,0,0
2014-03-14,207,0,207,0,0
2014-03-15,262,0,262,0,0
2014-03-16,80,0,80,0,0
2014-03-17,102,0,102,0,0
2014-03-18,96,0,96,0,0
2014-03-19,105,0,105,0,0
2014-03-20,107,0,107,0,0
2014-03-21,235,0,235,0,0
2014-03-22,310,0,310,0,0
2014-03-23,125,0,125,0,0
2014-03-24,156,0,156,0,0
2014-03-25,132,0,132,0,0
2014-03-26,138,0,138,0,0
2014-03-27,221,4,217,0,0
2014-03-28,248,1,247,0,0
2014-03-29,270,2,268,0,0
2014-03-30,103,2,101,0,0
2014-03-31,145,0,145,0,0
2014-04-01,162,1,161,0,0
2014-04-02,241,0,182,9,50
2014-04-03,226,0,175,5,46
2014-04-04,372,2,262,31,77
2014-04-05,456,5,331,25,95
2014-04-06,183,0,129,17,37
2014-04-07,166,2,129,19,16
2014-04-08,226,4,186,17,19
2014-04-09,219,5,185,3,26
2014-04-10,582,406,176,0,0
2014-04-11,623,417,206,0,0
2014-04-12,823,525,298,0,0
2014-04-13,344,218,126,0,0
2014-04-14,343,226,117,0,0
2014-04-15,382,247,135,0,0
2014-04-16,423,252,171,0,0
2014-04-17,442,305,137,0,0
2014-04-18,685,395,290,0,0
2014-04-19,909,603,306,0,0
2014-04-21,228,111,117,0,0
2014-04-22,174,18,156,0,0
2014-04-23,168,20,148,0,0
2014-04-24,279,15,264,0,0
2014-04-25,165,9,156,0,0
2014-04-26,326,19,307,0,0
2014-04-27,158,23,135,0,0
2014-04-28,238,22,216,0,0
2014-04-29,243,30,213,0,0
2014-04-30,828,23,266,86,453
2014-05-02,761,18,261,96,386
2014-05-03,780,18,273,41,448
2014-05-04,245,19,125,1,100
2014-05-05,371,1,135,30,205
2014-05-06,319,0,158,44,117
2014-05-07,269,2,179,24,64
2014-05-08,351,2,171,48,130
2014-05-09,350,0,262,1,87
2014-05-10,350,3,243,18,86
2014-05-11,129,0,103,8,18
2014-05-12,216,3,162,8,43
2014-05-13,379,2,190,7,180
2014-05-14,246,2,197,0,47
2014-05-15,239,12,214,0,0
2014-05-16,398,33,356,0,0
2014-05-17,455,47,390,0,0
2014-05-18,194,8,175,0,0
2014-05-19,215,24,173,7,0
2014-05-20,267,34,190,26,0
2014-05-21,225,10,200,14,0
2014-05-22,253,22,210,13,0
2014-05-23,366,31,276,49,0
2014-05-24,468,31,360,63,0
2014-05-25,199,14,157,13,0
2014-05-26,224,31,168,17,0
2014-05-27,338,33,257,46,0
2014-05-28,258,17,217,14,0
2014-05-29,817,620,191,6,0
2014-05-30,933,720,182,31,0
2014-05-31,1151,891,224,36,0
2014-06-01,439,334,85,20,0
2014-06-02,238,189,49,0,0
2014-06-03,462,315,147,0,0
2014-06-04,554,459,95,0,0
2014-06-05,409,257,152,0,0
2014-06-06,526,331,195,0,0
2014-06-07,801,522,279,0,0
2014-06-08,293,221,72,0,0
2014-06-09,365,263,102,0,0
2014-06-10,426,285,141,0,0
2014-06-11,306,176,130,0,0
2014-06-12,710,0,153,531,26
2014-06-13,750,0,215,480,55
2014-06-14,899,0,267,571,61
2014-06-15,633,0,110,481,42
2014-06-16,514,0,130,339,45
2014-06-17,449,0,128,288,33
2014-06-18,462,0,218,213,31
2014-06-19,435,0,164,242,29
2014-06-20,595,0,172,376,47
2014-06-21,755,0,265,429,61
2014-06-22,253,0,83,169,1
2014-06-23,374,0,106,238,30
2014-06-24,320,0,145,146,29
2014-06-25,276,0,142,117,17
2014-06-26,139,0,139,0,0
2014-06-27,176,0,176,0,0
2014-06-28,174,0,174,0,0
2014-06-29,71,0,71,0,0
2014-06-30,96,0,96,0,0
2014-07-01,130,0,130,0,0
2014-07-02,109,0,109,0,0
2014-07-03,106,0,106,0,0
2014-07-04,130,0,130,0,0
2014-07-05,136,0,136,0,0
2014-07-06,74,0,74,0,0
2014-07-07,73,0,73,0,0
2014-07-08,102,0,102,0,0
2014-07-09,98,0,98,0,0
2014-07-10,490,0,145,75,270
2014-07-11,568,0,155,89,324
2014-07-12,629,0,188,52,389
2014-07-13,217,0,66,12,139
2014-07-14,358,0,95,18,245
2014-07-15,297,0,109,26,162
2014-07-16,391,0,119,28,244
2014-07-17,325,0,108,36,181
2014-07-18,345,0,132,14,199
2014-07-19,441,0,198,6,237
2014-07-20,190,0,66,4,120
2014-07-21,185,0,81,9,95
2014-07-22,257,0,98,11,148
2014-07-23,303,82,136,9,69
2014-07-24,398,293,104,0,0
2014-07-25,447,325,117,0,0
2014-07-26,716,467,246,0,0
2014-07-27,287,213,72,0,0
2014-07-28,250,161,89,0,0
2014-07-29,346,250,92,0,0
2014-07-30,426,287,139,0,0
2014-07-31,367,229,136,0,0
2014-08-01,538,365,169,0,0
2014-08-02,566,425,133,0,0
2014-08-03,251,176,75,0,0
2014-08-04,255,161,90,0,0
2014-08-05,302,219,81,0,0
2014-08-06,232,135,89,0,0
2014-08-07,454,60,164,226,0
2014-08-08,512,121,132,259,0
2014-08-09,457,138,152,167,0
2014-08-10,199,58,45,96,0
2014-08-11,257,82,46,129,0
2014-08-12,258,61,91,103,0
2014-08-13,281,74,88,116,0
2014-08-14,407,127,127,152,0
2014-08-16,385,129,130,123,0
2014-08-17,239,76,88,73,0
2014-08-18,316,93,106,116,0
2014-08-19,388,133,128,117,0
2014-08-20,258,113,80,65,0
2014-08-21,427,79,104,38,204
2014-08-22,462,89,142,67,160
2014-08-23,519,126,205,21,165
2014-08-24,400,75,127,19,173
2014-08-25,423,101,116,16,187
2014-08-26,388,112,82,50,139
2014-08-27,510,124,159,39,187
2014-08-28,484,88,121,24,249
2014-08-29,643,145,139,25,334
2014-08-30,610,199,179,22,204
2014-08-31,400,103,128,12,156
2014-09-01,319,2,172,10,135
2014-09-02,274,12,133,19,110
2014-09-03,239,6,129,2,102
2014-09-04,158,2,156,0,0
2014-09-05,185,6,179,0,0
2014-09-06,257,4,253,0,0
2014-09-07,98,1,97,0,0
2014-09-08,125,1,124,0,0
2014-09-09,156,2,154,0,0
2014-09-10,100,3,97,0,0
2014-09-11,145,2,143,0,0
2014-09-12,166,2,164,0,0
2014-09-13,246,3,243,0,0
2014-09-14,78,2,76,0,0
2014-09-15,202,2,200,0,0
2014-09-16,111,5,106,0,0
2014-09-17,107,4,103,0,0
2014-09-18,244,0,244,0,0
2014-09-19,297,0,297,0,0
