date,sum_stats,brand_1,brand_2,brand_3,brand_4
2014-01-02,29,0,29,0,0
2014-01-03,29,0,29,0,0
2014-01-04,30,0,30,0,0
2014-01-05,24,0,24,0,0
2014-01-06,23,0,20,0,3
2014-01-07,38,0,30,0,8
2014-01-08,36,0,28,0,8
2014-01-09,32,0,27,0,5
2014-01-10,36,0,29,0,7
2014-01-11,37,0,31,0,6
2014-01-12,28,0,26,0,2
2014-01-13,33,0,26,0,7
2014-01-14,34,0,28,0,6
2014-01-15,34,0,27,0,7
2014-01-16,35,0,28,0,7
2014-01-17,31,0,28,0,3
2014-01-18,40,0,31,0,9
2014-01-19,26,0,21,0,5
2014-01-20,35,0,28,0,7
2014-01-21,34,0,29,0,5
2014-01-22,35,0,30,0,5
2014-01-23,35,0,28,0,7
2014-01-24,36,0,31,0,5
2014-01-25,35,0,29,0,6
2014-01-26,30,0,27,0,3
2014-01-27,26,0,26,0,0
2014-01-28,28,0,28,0,0
2014-01-29,29,0,29,0,0
2014-01-30,44,0,28,16,0
2014-01-31,48,0,31,17,0
2014-02-01,46,0,30,16,0
2014-02-02,43,0,28,15,0
2014-02-03,46,0,29,17,0
2014-02-04,44,0,27,17,0
2014-02-05,44,0,27,17,0
2014-02-06,44,0,29,15,0
2014-02-07,47,0,30,17,0
2014-02-08,48,0,31,17,0
2014-02-09,38,0,22,16,0
2014-02-10,39,0,24,15,0
2014-02-11,47,0,30,17,0
2014-02-12,47,0,31,16,0
2014-02-13,52,24,28,0,0
2014-02-14,55,26,29,0,0
2014-02-15,55,25,30,0,0
2014-02-16,51,22,29,0,0
2014-02-17,47,19,28,0,0
2014-02-18,51,25,26,0,0
2014-02-19,52,24,28,0,0
2014-02-20,53,23,30,0,0
2014-02-21,55,26,29,0,0
2014-02-22,54,23,31,0,0
2014-02-23,52,22,30,0,0
2014-02-24,50,23,27,0,0
2014-02-25,50,23,27,0,0
2014-02-26,54,25,29,0,0
2014-02-27,33,4,29,0,0
2014-02-28,32,3,29,0,0
2014-03-01,33,4,29,0,0
2014-03-02,24,2,22,0,0
2014-03-03,33,4,29,0,0
2014-03-04,30,3,27,0,0
2014-03-05,28,3,25,0,0
2014-03-06,32,4,28,0,0
2014-03-07,32,3,29,0,0
2014-03-08,33,4,29,0,0
2014-03-09,28,3,25,0,0
2014-03-10,28,3,25,0,0
2014-03-11,29,3,26,0,0
2014-03-12,32,3,29,0,0
2014-03-13,26,0,26,0,0
2014-03-14,28,0,28,0,0
2014-03-15,30,0,30,0,0
2014-03-16,22,0,22,0,0
2014-03-17,30,0,30,0,0
2014-03-18,23,0,23,0,0
2014-03-19,26,0,26,0,0
2014-03-20,22,0,22,0,0
2014-03-21,29,0,29,0,0
2014-03-22,31,0,31,0,0
2014-03-23,27,0,27,0,0
2014-03-24,28,0,28,0,0
2014-03-25,29,0,29,0,0
2014-03-26,29,0,29,0,0
2014-03-27,32,0,32,0,0
2014-03-28,33,0,33,0,0
2014-03-29,34,0,34,0,0
2014-03-30,28,0,28,0,0
2014-03-31,27,0,27,0,0
2014-04-01,31,0,31,0,0
2014-04-02,39,0,29,0,10
2014-04-03,41,0,32,0,9
2014-04-04,43,0,33,0,10
2014-04-05,43,0,33,0,10
2014-04-06,36,0,27,0,9
2014-04-07,37,0,29,0,8
2014-04-08,40,0,32,0,8
2014-04-09,37,0,31,0,6
2014-04-10,56,27,29,0,0
2014-04-11,57,27,30,0,0
2014-04-12,57,27,30,0,0
2014-04-13,51,23,28,0,0
2014-04-14,49,24,25,0,0
2014-04-15,46,20,26,0,0
2014-04-16,51,24,27,0,0
2014-04-17,49,23,26,0,0
2014-04-18,57,27,30,0,0
2014-04-19,58,27,31,0,0
2014-04-21,52,26,26,0,0
2014-04-22,33,5,28,0,0
2014-04-23,29,4,25,0,0
2014-04-24,34,4,30,0,0
2014-04-25,28,3,25,0,0
2014-04-26,34,5,29,0,0
2014-04-27,32,5,27,0,0
2014-04-28,35,5,30,0,0
2014-04-29,34,4,30,0,0
2014-04-30,46,5,31,0,10
2014-05-02,44,4,30,0,10
2014-05-03,48,5,34,0,9
2014-05-04,40,4,28,0,8
2014-05-05,36,0,28,0,8
2014-05-06,36,0,27,0,9
2014-05-07,37,0,30,0,7
2014-05-08,42,0,32,0,10
2014-05-09,39,0,30,0,9
2014-05-10,40,0,32,0,8
